number,class,clearance_level,description,image_url,,,,,,,
98,Safe,1," SCP-098 is a species of previously unknown crustacean. They resemble crabs, but rather than chelae, the front limbs terminate in knife-like structures that incorporate silica to form an extremely sharp edge. Specimens reach larger size than normal for land-dwelling arthropods, at 40 centimeters tall and as large as 60 centimeters across.",http://scp-wiki.wdfiles.com/local--files/scp-098/Crab.jpg,,,,,,,
99,Safe,1," SCP-099 is a 73 x 50 cm painting titled ""The Portrait."" Created in 1935 by surrealist painter René Magritte, the original painting possesses memetic properties that trigger acute paranoia and lingering psychological effects when viewed for too long or from a distance of approximately three meters or less. The painting depicts a simple still life, with the addition of a single eye staring back at the viewer.",,,,,,,,
100,Euclid,2," SCP-100 is an abandoned scrapyard eighty (80) kilometers from ¦¦¦¦¦¦¦¦¦, South Carolina, known as ""Jamaican Joe's Junkyard Jubilee"". The scrapyard covers roughly five thousand (5,000) square meters of fenced-off land, consisting of two warehouses, a storefront, and a small residential building, as well as neglected land and land used for storage. SCP-100 holds roughly fifteen hundred (1,500) vehicles, both pressed and unpressed, as well as roughly fourteen hundred (1,400) kilograms of separate scrap, estimated to be worth $5,000 (€3,870).",https://scp-wiki.wdfiles.com/local--files/scp-100/1YBBZ.png,,,,,,,
101,Euclid,2," SCP-101 appears as a satchel or bag of intermittent size, with observations ranging from an opening of fifteen (15) centimeters in diameter, to seventy (70) centimeters in diameter. The depth of the container has varied with no standard mean of equality to the relative diameter.",https://scp-wiki.wdfiles.com/local--files/scp-101/SCP-101.jpg,,,,,,,
102,Euclid,2," SCP-102 is a pair of stand-alone condominium-style beach houses located at ¦¦ ¦¦¦¦¦ ¦¦¦¦, ¦¦¦¦¦¦¦¦¦¦, currently owned by Marshall, Carter, and Dark Ltd. through the use of a dummy corporation known as Ghieser Housing Associates, and rented to MC&D members as a ""vacation home for those with discerning taste in the eclectic adventures of privileged life"". The two share similar properties, although [DATA EXPUNGED].",https://scp-wiki.wdfiles.com/local--files/scp-102/scp-102.JPG,,,,,,,
103,Neutralized,0," SCP-103 was a Caucasian, humanoid cis male in his mid-forties. Family and friends of the anomaly were given a cover story of its death. Until cessation of anomalous effects, SCP-103 did not experience hunger, however the entity still required nutrients. In testing, the entity's gastrointestinal system had the imprint of a Cestoid, which had been hypothesized to be the cause of SCP-103's prior anomalous behavior.",https://scp-wiki.wdfiles.com/local--resized-images/scp-103/{$name}/medium.jpg,,,,,,,
104,Euclid,2," SCP-104 is a sphere, 35.5 cm (14 in) around and weighing 2.3 kg (5 lbs). The outside is glass and very smooth, coating the sphere in a layer 6 mm (0.2 in) thick. Under this layer is an extremely intricate design of very thin black and white lines. This inner “core” is a delicately carved ball of wood, giving slight texture to the line design. The design itself is unimaginably complex and seems to form something of a Rorschach test, as all viewers seem to have a different interpretation. Movement or a ticking sound from inside the sphere has been reported, but at this time is unconfirmed.",,,,,,,,
105,Safe,1," SCP-105 (formerly known as Iris Thompson) is a female human of European descent. Records indicate that SCP-105 was born in ¦¦¦¦, making her ¦¦ years old at the time of acquisition. She has blonde hair and blue eyes, and at the time of this article, is 1.54 meters in height and 50kg in weight. She does not appear to have any out-of-the-ordinary physical characteristics and appears to be, for all intents and purposes, a normal human being in good health.",http://scp-wiki.wdfiles.com/local--files/scp-105/2014-07-18%2022.41.47-new.jpg,,,,,,,
106,Keter,3," SCP-106 appears to be an elderly humanoid, with a general appearance of advanced decomposition. This appearance may vary, but the “rotting” quality is observed in all forms. SCP-106 is not exceptionally agile, and will remain motionless for days at a time, waiting for prey. SCP-106 is also capable of scaling any vertical surface and can remain suspended upside down indefinitely. When attacking, SCP-106 will attempt to incapacitate prey by damaging major organs, muscle groups, or tendons, then pull disabled prey into its pocket dimension. SCP-106 appears to prefer human prey items in the 10-25 years of age bracket.",https://scp-wiki.wdfiles.com/local--files/scp-106/106emergenceklay.jpg,,,,,,,
107,Safe,1," SCP-107 resembles the top section of a hollow turtle shell. The shell is composed of a hardened biological material of unknown origin. Despite its appearance, whether this material is derived from the shell of a standard sea turtle (superfamily  Chelonioidea ) is, as yet, unknown. The item is completely inert until the inside of the turtle shell comes into contact with a liquid; when it does so, said liquid appears to be absorbed very quickly. Where the liquid drains to is unknown, given the lack of visible pores on the inside of the shell. Once active, the red edge of the shell glows dimly, and the substance placed into the shell begins to precipitate in the atmosphere and fall as 'rain' in the area at least 0.5 m, but less than 10 km, from the object. This phenomenon is mobile: moving SCP-107 will move the area of effect, along with the 'exclusion zone'.",,,,,,,,
108,Safe,1," SCP-108 is accessible through the nostrils of Subject-108-1. Subject is an African-American female, 51 years old (see Addendum 108-1), who was previously employed as a cashier at ¦¦¦¦¦ ¦¦¦¦¦¦ ¦¦¦¦¦¦¦, a small town hardware store in ¦¦¦¦¦¦¦¦¦¦¦¦, Kentucky. Since ¦-¦¦-¦¦¦¦, SCP-108 has been housed at Site-17.",https://scp-wiki.wdfiles.com/local--files/scp-108/SCP108interior.jpg,,,,,,,
109,Euclid (See Addendum 109-1),6," SCP-109 is a standard-issue United States Army canteen (circa 1899) made of a tin alloy and fitted with a heavy cotton cover and a black leather strap. When opened, the item is seen to be nearly full of water. A seemingly unlimited amount of water can be removed from the container without changing the water level or the item's mass, which remains a constant 3.16 kg. Probes of the interior of the container reported an estimated volume of 2.8 L and a shape consistent with the outside.",,,,,,,,
110,Euclid,2," SCP-110 is an entire city that was found buried 0.5 kilometers underneath a large farm in [DATA EXPUNGED], New York. Survey Teams 2 and 3 concluded that the amount of surface area that the city is buried under covers approximately six (6) square kilometers. Numerous items of high interest have been discovered within SCP-110, and will henceforth be labeled as SCP-110-xx.",,,,,,,,
111,Safe,1," SCP-111 is an apparently artificial species of invertebrate vaguely resembling snails. Adult specimens of SCP-111 are approximately twenty (20) centimeters in length, twelve (12) centimeters in width, and fifteen (15) centimeters in height, although exact size differs slightly between specimens. SCP-111 specimens differ from ordinary snails in that they have a warm-blooded metabolism, complex eyes, small ""horns"" consisting of cartilage-ridged tentacles, apparently increased intelligence (personnel are requested to read Test Log ¦¦¦¦¦¦ for examples), and a complex vertebrate-type jaw structure; as well, specimens lay eggs possessing hardened shells.",https://scp-wiki.wdfiles.com/local--files/scp-111/GardenpestSCP-new-new.png,,,,,,,
112,Euclid,2," SCP-112 is a steel sit-down rollercoaster, formerly known as the ""Blue Steelsurfer"". Built in 19¦¦, SCP-112 was marketed as the crown jewel of the ""¦¦¦¦¦¦ ¦¦¦¦¦¦¦¦"" amusement park. Initial testing of the ride resulted in extremely negative experiences from testing staff. When these reports became public knowledge, the financial repercussions of the ""failure"" of the Steelsurfer resulted in the parent company of the amusement park going bankrupt. The property was abandoned and undisturbed until 19¦¦, when a local gang broke into the park and reactivated the improperly-disabled rides, SCP-112 included. When police attempted to arrest the members who were exiting SCP-112 after its 'inaugural' ride, the riders began to [REDACTED], attracting local media attention. (For more information, see Archive.112.¦¦¦¦). Suspecting the ride had traits within its mandate, the Foundation purchased the park (under the auspices of rebuilding the park as  Amusatastic Land ) in order to test any potential anomalous properties from the ride.",https://scp-wiki.wdfiles.com/local--files/scp-112/coasters-new.jpg,,,,,,,
113,Safe,1," SCP-113 resembles a small, polished piece of red jasper. Analysis shows that SCP-113 is not composed of jasper, but [REDACTED] composition similar to that of other recovered objects.",,,,,,,,
114,Euclid,2," SCP-114 is a Pashtun woman of Afghani origin, approximately 40 years old and 160 cm tall. SCP-114 has the involuntary effect of fostering and escalating violent conflict between all individuals in her proximity. Subjects within ten to fifteen meters of SCP-114 become inconsolably aggressive at trivialities or points of little consequence, often to the degree of projecting hostile motives on others. Arguments generally arise between individuals after one to three minutes of exposure to SCP-114. The resulting arguments turn to violence in all cases.",,,,,,,,
115,Safe,1," SCP-115-1 is a toy dump truck, with no identifying markers or labels to identify its original manufacturer. However, unlike regular toy dump trucks, SCP-115-1 weighs as much as the actual vehicle it represents, roughly 90 tons. It is currently unknown how the vehicle weighs this much, as analysis of SCP-115-1's composition reveals that it is made of the same commercial plastic commonly found in similar cheap-quality toys.",https://scp-wiki.wdfiles.com/local--files/scp-115/tonka.jpg,,,,,,,
116,Euclid,2," SCP-116 has the outward appearance of a Caucasian male of around 9 years of age. Skin is cauterized and scarred over 98% of body, limbs, and head. SCP-116’s bone structure is drastically different from standard  Homo sapiens  bone layout, and all bones are dangerously brittle. The most distinguishing difference between the human body and that of SCP-116 is the non-existence of joints in the latter. SCP-116 is entirely capable of independent movement, but to do so would cause multiple shattering breaks to all bones affected by said movement. To combat this, SCP-116 shows remarkable self-healing, and over a period of minutes can completely regenerate its rigid bone placement. SCP-116 has shown some language skill since acquisition; however, the only language it speaks is a disrupted and broken version of English in which every word has been replaced with an almost entirely unconnected one. Prolonged attempts to make sense of SCP-116’s speech have resulted in some long-term mental degradation in researchers. There seems to be no pattern to the word replacement, and attempts continue to translate it. Research suggests that SCP-116 may be capable of low level telepathy,  which deteriorates the victim’s brain functions  over a long period of time.",,,,,,,,
117,Safe,1," The item appears to be a regular multitool, of unknown make and brand, found in ¦¦¦¦¦¦¦¦¦¦¦, Florida. At first glance, only the normal tools are found (screwdriver, knife, can opener, etc.), but if the user is faced with a task, regardless of what tool the subject intends to pull out and use, a tool perfectly fitted for the job will take its place, regardless of spatial quantities that are being broken by the tool. All other tools always seem to be present, though, after the task is completed and the tool closed, unless faced with a task requiring that tool again, the tool cannot be found on the tool again.",,,,,,,,
118,Euclid,2," SCP-118 is a species of ocean-dwelling protista that is capable of assembling functional, self initiating, nuclear devices from materials present in ocean water. While SCP-118 is unknown and hence has not been classified by the scientific community, specimens resemble protists of the phylum Euglenophyta but have significantly increased levels of movement speed, nutrient storage capability and resistance to alpha radiation. Specimens of SCP-118 have been found in all of the world's oceans and seas.",https://scp-wiki.wikidot.com/local--files/scp-118/SCP118Pic.jpg,,,,,,,
119,Euclid,2," SCP-119 is a Panasonic [REDACTED] Microwave Oven. It was initially discovered by an agent, who had bought it from a liquidation sale of the assets from ¦¦¦¦ Valley Vineyards. It is believed that ¦¦¦¦ Valley Vineyards was using the anomalous properties of SCP-119 to rapidly age its products and create expensive vintages. Records show ¦¦¦¦ Valley Vineyards making under-the-table sales of vintages dated as far back as 19¦¦, many years before the company's inception in 2005. These sales are what led to the lawsuits accusing the company of falsifying product information and other forms of fraud, which eventually caused ¦¦¦¦ Valley Vineyards to declare bankruptcy. SCP-119 appears to be a standard model of microwave in all respects except that the magnetron unit does not produce microwave radiation. Instead, the magnetron emits a previously unknown type of radiation that accelerates time.",,,,,,,,
120,Safe,1," SCP-120 appears to be a small child’s paddling pool, pastel pink in colouration, with an inner diameter of approximately 2.5 metres and inner height of 0.3 metres. The pool appears to have been fabricated from common Earth plastics but has shown itself to be indestructible by any attempted means (see research report #120-32 for a full summary). The pool’s structure and response to pressure are typical for such a pool (it will flex when pressure is applied and is soft to the touch) but has amazing tensile strength and cannot be permanently stretched or ripped.",,,,,,,,
121,Euclid,2," SCP-121 is the region of land occupied by the former town of ¦¦¦¦¦¦¦, Colorado. The town was home to roughly 6,800 prior to enactment of current containment protocol, and holds roughly 3,000 buildings, both residential and commercial. Clouds above SCP-121 appear incapable of entering an area roughly twelve (12) kilometers in diameter, instead passing around the area; it is speculated this is related to SCP-121's range of effect, but it is not known how at this time. Buildings in SCP-121 will sporadically 1  detach from any foundations and ascend into the air. At this point, these buildings are identified as SCP-121-1.",,,,,,,,
122,Thaumiel,4," SCP-122 is a plastic night light in the shape of a star, thought to have been manufactured between 1960 and 1980.",https://scp-wiki.wdfiles.com/local--files/scp-122/Night_light.jpg,,,,,,,
123,Euclid,2," Object is a gray geodesic sphere 65 cm in diameter consisting of sixty triangles. The areas between these triangles are empty, allowing the center of the sphere to be seen. The material the sphere is composed of is unknown, and upon the recommendation of Dr. ¦¦¦¦¦, research into the material composition shall be limited to visual observation until further notice. SCP-123 appears to weigh about 3.62 kg, though its actual mass is believed to be much higher.",,,,,,,,
124,Euclid,2, SCP-124 is a plot of soil approximately 9 m 2  in area and 14 m 3  in size. It was recovered from a Detroit basement when authorities were notified of two teenagers growing large amounts of marijuana.,,,,,,,,
125,Euclid,2," SCP-125 is an apparently sentient ""being"" that can only exist within reflections.",,,,,,,,
126,Euclid,2," SCP-126 is an invisible and intangible entity that can only be identified via sound. SCP-126 is sentient, with the ability to speak in multiple languages in a female voice and engage in conversation with any subject within range. To date, no method by which SCP-126 can be visually detected has been devised as SCP-126 does not appear to emit any kind of light, radiation, heat or electromagnetic energy. SCP-126 does appear to occupy an area, as evidenced by the ability to triangulate its suggested location via its voice. SCP-126 also emits sound when moving consistent with footsteps made by a human subject wearing high heels with a mass of approximately 55 to 60 kg, though no depressions can be seen in any floor materials and pressure sensors do not register any kind of presence. SCP-126 cannot pass through barriers that would prevent a normal human subject from passing (such as a closed door), but solid objects can be pushed through the space it occupies without any effect. For unknown reasons, SCP-126 will comply with any request for it to follow a specific human subject or move to a specific location without question, though it may move away afterwards or if it is not able to ""physically"" comply with the request.",,,,,,,,
127,Safe,1," SCP-127, upon first glance, appears to be a standard MP5K-PDW submachine gun. Tests have revealed that aside from the outer steel and polymer shell, the entirety of the firearm is organic and alive. The weapon's ammunition initially appeared to be human-like teeth. However, DNA testing of the ""bullets"" resulted in no match to any known species on Earth.",https://scp-wiki.wdfiles.com/local--files/scp-127/scp-127_1.png,,,,,,,
128,Euclid,2," SCP-128 is an immaterial source of kinetic energy which can be conferred upon any nonliving solid material within line of sight of the source. The source itself is motile, with a tendency to remain along the walls or at the central wheel of the containment chamber. The line of sight is blocked by any opaque material, including lead, steel, or even single sheets of paper, but not transparent materials such as ballistic glass. Opaque radiolucent materials will contain SCP-128's range of effect, suggesting that transmission of energy occurs at visible light wavelengths, but darkness does not prevent transmission of kinetic energy.",,,,,,,,
129,Keter,3," SCP-129 is a series of at least ¦¦ different species of fungus that can infect any animal with mucosal membranes. Infection by SCP-129 can pass through up to five stages (depending on exposure to further member species of SCP-129, individual resistance, and other factors), with each stage of infection facilitating progression to the next stage by weakening the individual’s resistance to subsequent infection.",,,,,,,,
130,Euclid,2," SCP-130 is a post office in ¦¦¦¦¦¦¦¦, South Africa, constructed in 18¦¦. SCP-130 had been closed in 19¦¦ and left abandoned for ¦¦ years. The building is in excellent condition for its age, and maintains itself without human intervention, including moderate structural repairs. SCP-130 has been designated a Historic Site through an agreement with the South African government.",,,,,,,,
131,Safe,1," SCP-131-A and SCP-131-B (affectionately nicknamed the ""Eye Pods"" by personnel) are a pair of teardrop-shaped creatures roughly 30 cm (1 ft) in height, with a single blue eye in the middle of their bodies. SCP-131-A is burnt orange in color while SCP-131-B is mustard yellow. At the base of each creature is a wheel-like protrusion which allows for locomotion, suggesting that the creatures may be biomechanical in origin. The subjects can move surprisingly fast, covering over 60 m (200 ft) in a matter of seconds. The subjects, however, lack a braking system, which has led to some rather spectacular, if not overly amusing, mishaps involving the creatures. The subjects have also shown the ability to climb sheer surfaces, and have gotten lost in the air vents on more than one occasion.",https://scp-wiki.wdfiles.com/local--files/scp-131/131volgun.png,,,,,,,
132,Safe,1," SCP-132 takes the form of a series of ¦¦¦ glass tetrahedrons, each with a side length of 10.3 centimeters. Each instance of SCP-132 appears to contain a patch of desert sand. Occasionally scorpions and other desert creatures enter the confines of an instance of SCP-132 as if it were a continuous piece of desert. Creatures within SCP-132 have shown no awareness of the existence of anything outside of the object and attempts to influence the area within SCP-132 have failed.",,,,,,,,
133,Safe,1," SCP-133 are a set of six hundred and thirteen (613) black, circular pieces of a waxy, paper-like material 5 cm in diameter. When placed against a solid surface and rubbed, SCP-133 will instantaneously ""transfer"" to the surface and create a circular hole. Testing has shown that SCP-133 is capable of penetrating up to 61 cm of structural grade steel, though the exact degree of penetration is reduced by extremely smooth or highly dense materials. Examination of holes created by SCP-133 show that they are superficially smooth, but exhibit tool marks consistent with that of extremely fine boring implements at a microscopic level. The exact mechanism by which SCP-133 operates is still under investigation.",,,,,,,,
134,Safe,1," SCP-134 seems to be an Asian girl between the ages of ¦ and ¦, with short black hair and a slight build. The subject seems normal in most respects and has all the biological requirements of a human child (food, sleep, etc). However, where SCP-134's eyes should be are two black pits, covered by a transparent membrane similar in appearance to a human eye's membrane; ophthalmological testing has shown that the membranes are between 150 and 200 times more resilient than those of a normal, non-anomalous human. SCP-134 lacks eyelids and thus does not blink, nor can SCP-134 see anything through these black areas. Attempts to examine the back of SCP-134's eyeball have failed, as no retina can be seen. In normal lighting conditions, they appear completely black, but in darkness, very faint lights have been seen within them. Further study with long-exposure photography and light amplification revealed that the lights are actually stars and galaxies, visible as though SCP-134's eye sockets are somehow looking out into deep space. To date, no astronomical formations have been recognized, though research by staff astronomer Dr. ¦¦¦¦¦¦¦ is ongoing.",http://scp-wiki.wdfiles.com/local--files/scp-134/SCP-134.jpg,,,,,,,
135,Euclid,2," SCP-135 is a human female between ¦ and ¦¦ years of age that promotes rapid, uncontrolled cell growth within a radius of 2.25 metres from itself. It remains rigidly in the foetal position, and has never been observed to move. SCP-135's effect is carcinogenic to animal tissue and induces malignant neoplasia in plant and fungal tissues in 100% of recorded exposure cases, with severity and disorganization increasing exponentially with closer proximity to SCP-135. Within 0.1 metres, cells will not die, even under conditions where they would normally, causing SCP-135 to be steadily buried under a continually-growing mass of plant matter, fungal matter, and micro-organisms. This “undying” state extends to SCP-135's cells as well. SCP-135 has been shown to lack an epidermis, instead having a crust of mixed plant and fungal matter that has incorporated itself onto SCP-135's skin, interspersed with tumours and patches of raw dermis.",,,,,,,,
136,Euclid,2, SCP-136 has no effect on non-humans.,,,,,,,,
137,Euclid,2," SCP-137 is an entity with the ability to possess a toy, gaining the physical properties, size, and shape of whatever it represents; for example, a teddy bear will become an actual bear, and behave accordingly. SCP-137 cannot possess any miscellaneous object, only toys. The observed range of SCP-137's possessive effect is two hundred fifty (250) meters, but until further testing has been accomplished, SCP-137 is assumed to have a maximum range of five hundred (500) meters from its position.",,,,,,,,
138,Safe,1," SCP-138 is a human male, suspected to be in excess of four thousand (4000) years old. Subject is approximately 1.5 meters in height, emaciated, and wizened. SCP-138's precise origins are unknown. Subject was discovered in 2006, in an Egyptian tomb located near Tutankhamen's tomb unearthed in 1922, sealed inside a sarcophagus. When a living being was discovered in the tomb, the Foundation was alerted by one of our sleeper agents assigned to the International Archaeological Association. Subject was immediately moved to Sector 37 for investigation by the lead research science team there.",,,,,,,,
,,6,,https://scp-wiki.wdfiles.com/local--files/scp-139/last-encounter.png,,,,,,,
140,Keter,3," SCP-140 is a modern hardcopy book with an unremarkable black binding and an unknown number of white pages. The book jacket is missing, but the title, “A Chronicle of the Daevas”, is clearly legible. The inside cover is signed by the author, whose name is indecipherable. The text is copyrighted 19¦¦. Careful examination reveals there are far more pages between the bindings than could be contained within them.",https://scp-wiki.wdfiles.com/local--files/scp-140/daevas.jpg,,,,,,,
141,Safe,1," SCP-141 is a small leather-bound codex dating back to Roman times, easily carried in one hand. Despite its great age, it never acquires any additional signs of wear and tear beyond a somewhat aged-looking cover. Its thin papyrus pages are always crisp, and so far have proven difficult to tear from the codex’s binding. All attempts at radiocarbon dating have failed; the judgment of SCP-141 as being Roman in origin was initially based upon its appearance, but later confirmed through extensive research using SCP-141 corroborated by historical records. The title is apparently  Codex Damnatio , based upon the text on its spine.",https://scp-wiki.wdfiles.com/local--files/scp-141/SCP-0141.jpg,,,,,,,
142,Safe,1," SCP-142 closely resembles a 1940’s “Black Beauty” slot machine, as produced by the Mill corporation during that era. The only observed irregularity in the external construction of SCP-142 is found in the coin slot of the device, which has been modified to accept any item that will fit in a cylindrical space 5.00 cm in length and 2.45 cm in diameter.",,,,,,,,
143,Euclid,2," SCP-143 is a plantation of 300 specimens of a unique type of tree. The trees are similar in appearance to  Prunus  x  yedoensis  (Japanese Sakura), or cherry blossoms. They bear no fruit, and the only known way of reproduction is by careful ""own root"" propagation using cut saplings from an older sample.",,,,,,,,
144,Safe,1," Located in a monastery atop a small Tibetan mountain, SCP-144 is a thin, taut hempen rope, only 1.2 cm thick, attached to a ring of jade bound to the floor of an atrium in the temple (known as ""Base Camp"" amongst researchers). The other end of SCP-144 extends straight upward many kilometers up into the sky to a yet-to-be-explored satellite in geostationary orbit above the Earth at an altitude of about 39 km (over 22 miles away, known as ""the Summit"" amongst researchers).",,,,,,,,
145,Euclid,2," SCP-145 appears to be a standard 2002-model cordless telephone handset of Alcatel brand on its standard issue charging base. The charging base appears defaced; all jack inputs are sealed with resin glue and the power input to the device has been gouged out with an unknown sharp tool. Serial number and production date are unavailable as all labels and stickers have been ripped off or defaced. The phone rings constantly whether it is on the base or not regardless of the lack of power source. Tests have shown the battery is removable, and disassembly of the base has not shown any effect on the hand unit. The hand unit itself has had all the seams sealed, preventing conventional disassembly. When answered a female voice speaks on the phone in a voice that shows high levels of stress. This voice varies from conversation to conversation, but in all cases the voice expresses extreme panic, and proceeds to plead with the listener for assistance as she describes instances of torture conducted on unknown victims. In the background, the listener will hear sounds of violence and expressions of pain and anguish. Audio analysis has so far indicated at least ¦¦ individual voices over disparate calls. The methods of torture implied thus far (judging from the phrases and reactions of those speaking at the time of contact) have included branding, electrocution, laceration, sexual assault, [DATA EXPUNGED] and dismemberment.",,,,,,,,
146,Euclid,2," SCP-146 is a hollow bronze head, apparently a fragment of a complete statue or bust, depicting a crowned young woman or perhaps an effeminate young man. The head exhibits severe verdigris over much of its surface. The crown of SCP-146 is inlaid with silver decorations, and its eyes (the apparent source of SCP-146's effects) are beaten silver, shined to be mildly reflective. To date, SCP-146 has not exhibited any signs of movement, but its reaction to certain decor in its containment area indicates that it may possess a degree of sentience, if not outright sapience. If SCP-146 is able to communicate, it has not yet done so.",,,,,,,,
147,Euclid,2," Discovered 1983 in a civilian home in Detroit, Michigan. SCP-147 appears to be a 1957 General Electric brand black-and-white television, model 17TO26. SCP-147 has been observed to exhibit two different behaviors:",,,,,,,,
148,Euclid,2," SCP-148 is a metallic substance, composed of a variety of known and unknown elements. The total mass of SCP-148 on hand is approximately  1.1  1.2 tonnes. SCP-148 has a gray-green color with a bluish tinge and oxidizes readily in the presence of water. SCP-148 has a melting transition point of approximately 4500°C and a boiling transition point of approximately 9000°C. SCP-148 has a density of  6.20 g/cm 3  6.76 g/cm 3  and qualifies as HRC 39 in a Rockwell hardness test. It exhibits material properties, such as strength, ductility, and workability, similar to platinum.",,,,,,,,
149,Keter,3," SCP-149 is a breed of mosquito which carries a strain of retrovirus (herein referred to as SCP-149-A) that mutates regenerating human cells into fertilized mosquito eggs. SCP-149-A is injected directly into the bloodstream when SCP-149 feeds. The SCP-149-A quickly works on the nucleus of the cells, warping the DNA. The first set of cells bred from these changed instructions closely resemble cysts, and are concentrated in the lining of the esophagus and the sinuses. Upon dissection, however, these 'cysts' are revealed to be filled with SCP-149's larvae, the cysts acting as a protective casing against external forces. SCP-149 appears to go through its maturation cycle in a matter of hours; by the time the subject is able to feel any effects, the first generation of SCP-149 has already grown inside the subject's body. SCP-149 primarily achieves exodus through the mouth and nostrils, occasionally being diverted through the Sphenoid sinuses to escape through the eye sockets. Infection by SCP-149 is fatal, and chance of infection has been estimated to be 50% from one bite.",,,,,,,,
150,Keter,3," SCP-150 is an obligate parasite that resembles the tongue-eating louse ( Cymothoa exigua ), but is adapted to form conjunctive symbiotic relationships with humans for a period of its lifespan. Upon contact with a human subject, SCP-150 embeds itself deeply in the flesh of its host. Over the course of approximately seven days, the parasite will burrow into the host and affect numerous physiological alterations.",https://scp-wiki.wdfiles.com/local--files/scp-150/isopod.jpg,,,,,,,
151,Euclid,2," SCP-151 is a 1 m x 1.3 m (3 ft x 4 ft) oil painting, apparently from the perspective of someone underwater. A subject who views the painting exhibits no initial effects. However, over a period of 24 hours, the subject's breathing becomes increasingly labored, culminating in the death of the subject. Autopsies reveal that subjects' lungs have filled with seawater. Attempts to halt the drowning process by medical intervention have proven successful in prolonging the life of the subject, but have not stopped nor reversed the condition.",https://scp-wiki.wdfiles.com/local--files/scp-151/SCP-151(1).jpg,,,,,,,
152,Safe,1," SCP-152 is a large, hardbound book with leather bindings. The paper inside resembles vellum and is written upon in black ink. The contents of the book consist entirely of a series of entries that describe apocalyptic events, which are not always XK-class end-of-the-world scenarios but invariably deal with the extinction of humanity. The entries are arranged in chronological order, beginning with an unexplained spontaneous failure of the sun in 6000 BC and ending with other events close to the present day. Many of the entries describe apocalypses caused or facilitated by objects that are or were in Foundation custody, or are of a paranormal nature. There are also records of human extinction caused by more ""conventional"" means, such as nuclear warfare or deadly viral epidemics. Each entry describes in some detail the events leading up to the calamity itself, and the aftermath until the point at which the last human on Earth dies.",,,,,,,,
153,Euclid,2," SCP-153 appears to be a species of nematode (roundworm) that can reach up to ¦¦ m in length and ¦¦ cm in diameter. Specimens of SCP-153 live in sewers and drain pipes, and while specimens of SCP-153 can live off of most any organic material, they prefer to consume animal tissue.",,,,,,,,
154,Euclid,2," SCP-154 is a pair of simple bronze bracelets, completely circular and large enough to comfortably hang off the arm of most people. Spectrograph analysis has proven that the item is composed entirely of copper (85%), tin (11%), arsenic (3%), and traces of other slight impurities (<1%).",,,,,,,,
155,Safe,1," SCP-155 is a complex electronic construct consisting of a highly modified Cray CS6400 supercomputer, a dedicated radioisotope thermoelectric generator, and a device that has yet to be fully reverse-engineered. SCP-155 was recovered from the basement of Prometheus Labs' primary research laboratory by elements of Mobile Task Force Mu-4 (""Debuggers"") following the destruction of the facility and subsequent Foundation intervention.",https://scp-wiki.wdfiles.com/local--files/scp-155/scp155-1_th.jpg,,,,,,,
156,Euclid,2," SCP-156 is a group of exactly 181 pomegranate arils. The number of instances of SCP-156 is constant. When one is ingested or destroyed, it is replaced instantaneously with a new one among the largest group of contiguous instances. Otherwise, the instances can be moved around freely. After leaving the group (i.e. after an instance is touching no other instance), the instance will spoil normally, after which a new instance will appear. When all instances are destroyed simultaneously, all 181 instances reappear randomly at the location of one of the destroyed arils. Attempts to measure the time between destruction of one instance and the appearance of a new one using high-speed cameras have so far failed.",,,,,,,,
157,Euclid,2," SCP-157 is a previously unknown microscopic animal in the Tardigrade phylum, adapted to live on land as a predator. Like other Tardigrades, SCP-157 is extremely resistant to environmental damage, and can enter a cryptobiotic state when no food is present. SCP-157 normally exists as an amorphous mass composed of millions of individual organisms. In this form, it can slowly crawl and climb.",,,,,,,,
158,Euclid,2," SCP-158 is a large mechanical arm, similar to one that one might find in an automotive factory, although the end attachment is unusually shaped, resembling a pointed tridactyl claw. Its optimal placement is to be installed and suspended upside down, its base attached to the ceiling in a room that has been built to accommodate. A series of cables are protruding from the base and some are connected to a complex mobile console, complete with VDU (Visual Display Unit) and full keyboard. The others should be connected to a working power supply if the device is to be operated successfully. At the bottom of the console, there is a dispensing device, with attachments for a container roughly 7.6 cm (3 in) in width, and 17.8 cm (7 in) in height.",,,,,,,,
159,Safe,1," SCP-159 has the appearance of a standard neon sign reading 'OPEN', of the style commonly found in small businesses. When SCP-159 is displayed through a window of a building, and deactivated by removing it from a standard power outlet 1 , the building will become impossible to enter by any means. The locking effect ceases immediately when SCP-159 is reattached to a power outlet. If SCP-159 is switched OFF and then removed from its power outlet, its effect will not activate.",,,,,,,,
160,Euclid,2," SCP-160 appears to be a quadriflyer unmanned aerial vehicle (UAV) with a diameter of approximately 1.1 m at its widest point, similar to the [REDACTED] model manufactured by the [REDACTED] Corporation. It is devoid of any identifying marks or manufacturing labels, though visual inspection of SCP-160 has revealed signs of scratches and other superficial damage indicating that prior identifying labels may have been removed.",,,,,,,,
161,Euclid,2," There are currently three copies of SCP-161 in Foundation control. SCP-161 appears to be a brightly colored, plastic, child's pinwheel, with a ""The Factory"" Stamp on the back.",,,,,,,,
